"time","presentation","url","presenter"
"08:30 - 09:00","Eintreffen, Anmeldung",,
"09:00 - 09:10","Begrüssung, Neuigkeiten Anwendergruppe und QGIS.ORG",,"Andreas Neumann (GIS-Fachstelle, Kt. Zug)"
"09:10 - 09:40","QGIS 3: Informationen zum Entwicklungsstand und neue Funktionen",,"Matthias Kuhn (OpenGIS)"
"09:40 - 10:00","Neues von QGIS Server, QGIS Web Client 2 und QGIS Cloud",,"Sandro Mani (Sourcepole)"
"10:00 - 10:20","QGIS Projektgenerator - ein Plugin zur generischen Erstellung von MGDM konformen QGIS-Fachschalen in Zusammenarbeit mit Postgis und ili2pg",,"Romedi Filli (GIS-Fachstelle, Kt. Schaffhausen), Matthias Kuhn (OpenGIS)"
"10:20 - 10:40","Versionierung von Geodaten mit pgversion und QGIS",,"Horst Düster (Sourcepole)"
"10:40 - 11:10","Kaffeepause",,
"11:10 - 11:30","QGEP- Statusupdate",,"Stefan Burckhardt (SJiB, Zürich), Valentine Arrieta (geoconseils SA)"
"11:30 - 11:50","Vector Tiles: Einführung in Vector Tiles und Nutzung innerhalb von QGIS mit Plugin (Vector Tiles Reader)",,"Pirmin Kalberer (Sourcepole), Martin Boos/Stefan Keller (beide HSR)"
"11:50 - 12:10","Neues vom QField Projekt",,"Marco Bernasocchi (OpenGIS)"
"12:10 - 12:30","QGIS im Einsatz für die Nutzungsplanung - ein Erfahrungsbericht",,"Armin Weber (Lerch Weber AG, Olten)"
"12:30 - 12:50","Fachschale für Erdwärmesondenbewilligungen - ein Erfahrungsbericht zur Erstellung einer Fachschale mit Hilfe von Postgis, QGIS und ili2pg",,"Manuel Kaufmann (GIS-Fachstelle, Kt. Zug)"
"12:50 - 14:00","Mittagspause",,
"14:00 - 15:30","Workshops Teil 1",,
,"A: Datenerfassung mit QGIS und der mobilen Lösung QField:
Erstellen von benutzerdefinierten Formularen mit Validierung von Daten, dynamisch angezeigten Widgets, strukturierten Formularen und Relationen.",,"A: Matthias Kuhn und Marco Bernasocchi (OpenGIS) 
 "
,"B: QGIS Expressions:
QGIS Expresssions (Ausdrücke) können in QGIS in zahlreichen Bereichen eingesetzt werden: zum Selektieren, Filtern, neu Berechnen von Werten, zum Symbolisieren, Beschriften, im Drucklayout, in der Verarbeitung und an zahlreichen anderen Orten.
Der Workshop beinhaltet die folgenden Themen:
- Überblick über Expressions
- Wo können in QGIS Expressions verwendet werden?
- Fallbeispiele, Tips + Tricks
- Eigene Expressions mit Python schreiben
- Dynamische Druckvorlagen mit Variablen und Expressions",,"
B: Andreas Neumann (Kanton Zug)
 "
"15:30 - 15:45","Kaffeepause",,
"15:45 - 17:00","Workshops Teil 2 (siehe oben)",,"siehe oben"
