"time","presentation_de","presentation_fr","url","presenter_de","presenter_fr"
"08:30 – 09:00","Eintreffen und Anmeldung","Arrivée et réception",,,
"09:00 – 09:05","Begrüssung","Mot de bienvenue",,"François Voisard, Kanton Neuenburg","François Voisard, Canton du Neuchâtel"
"09:05 – 12:30","In Vorbereitung","en préparation",,,
"?? – ??","Kaffeepause","Pause café",,,
"12:30 – 13:30","Mittagspause","Pause midi",,,
"13:30 – 15:00","Workshops Teil 1","Ateliers partie 1",,,
,"A: <b>Noch zu bestimmen</b><br/>Raum ??","A: <b>A définir</b><br/>Salle ??",,,
,"B: <b>Noch zu bestimmen</b><br/>Raum ??","B: <b>A définir</b><br/>Salle ??",,,
,"C: <b>Noch zu bestimmen</b><br/>Raum ??","C: <b>A définir</b><br/>Salle ??",,,
"15:00 – 15:15","Kaffeepause","Pause café",,,
"15:15 – 16:45","Workshops Teil 2","Ateliers partie 2",,,
,"A: siehe oben","A: voir ci-dessus",,,
,"B: siehe oben","B: voir ci-dessus",,,
,"C: siehe oben","C: voir ci-dessus",,,
