date,title_de,title_fr,url
18.11.2026 & 19.11.2026, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-301717
15.06.2026, OPENGIS.ch: Workshop QField in Lausanne (Französisch), OPENGIS.ch: Workshop QField a Lausanne (Français), https://www.opengis.ch/courses-calendar/
26.05. & 02.06.2026, OPENGIS.ch: QGIS Advanced in Zürich (Deutsch), OPENGIS.ch: QGIS Cours avancé à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
20.05.2026, OPENGIS.ch: QField Workshop in Zürich (Deutsch), OPENGIS.ch: Workshop QField à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
11.05. & 18.05.2026, OPENGIS.ch: QGIS Advanced in Lausanne (Französisch), OPENGIS.ch: QGIS Cours avancé à Lausanne (Français), https://www.opengis.ch/courses-calendar/
05.05. & 12.05.2026, OPENGIS.ch: QGIS Basic in Zürich (Deutsch), OPENGIS.ch: QGIS Cours de base à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
27.04. & 04.05.2026, OPENGIS.ch: QGIS Basic in Lausanne (Französisch), OPENGIS.ch: QGIS Cours de base à Lausanne (Français), https://www.opengis.ch/courses-calendar/
30.03.2026, OPENGIS.ch: Kurs ModelBaker in Lausanne (Französisch), OPENGIS.ch: Course ModelBaker à Lausanne (Français), https://www.opengis.ch/courses-calendar/
18.03.2026, OPENGIS.ch: INTERLIS Webinar ONLINE (Französisch), OPENGIS.ch: INTERLIS Webinar ONLINE (Français), https://www.opengis.ch/courses-calendar/
13.03.2026, OPENGIS.ch: Kurs ModelBaker in Zürich (Deutsch), OPENGIS.ch: Course ModelBaker à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
06.03.2026, OPENGIS.ch: INTERLIS Webinar ONLINE (Deutsch), OPENGIS.ch: INTERLIS Webinar ONLINE (Allemand), https://www.opengis.ch/courses-calendar/
04.03.2026 & 05.03.2026, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-301716
10.12.2025, OPENGIS.ch: QGIS Modellierung in Zürich, OPENGIS.ch: Le modeleur QGIS à Zurich, https://www.opengis.ch/courses-calendar/
24.11.2025, OPENGIS.ch: QGIS Modellierung in Lausanne, OPENGIS.ch: Le modeleur QGIS à Lausanne, https://www.opengis.ch/courses-calendar/
20.11.2025 & 27.11.2025, OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich, OPENGIS.ch: QGIS Cours avancé à Zurich, https://www.opengis.ch/courses-calendar/
10.11.2025 & 17.11.2025, OPENGIS.ch: QGIS Kurs Fortgeschrittene in Lausanne, OPENGIS.ch: QGIS Cours avancé à Lausanne, https://www.opengis.ch/courses-calendar/
04.11.2025 & 11.11.2025, OPENGIS.ch: QGIS Kurs Einsteiger in  Zürich, OPENGIS.ch: QGIS Cours de base à Zurich, https://www.opengis.ch/courses-calendar/
27.10.2025 & 03.11.2025, OPENGIS.ch: QGIS Kurs Einsteiger in Lausanne, OPENGIS.ch: QGIS Cours de base à Lausanne, https://www.opengis.ch/courses-calendar/
22.10.2025 & 23.10.2025, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-300819
23.09.2025, Kanton BL: QField, Canton BL: QField, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t638
16.09.2025, Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t697
11.09.2025, Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t696
28.-30.08.2025, BFH-HAFL: QGIS Grundlagenkurs (3-tägig),BFH-HAFL: QGIS cours de base (3 jours),https://www.bfh.ch/de/weiterbildung/fachkurse/qgis-grundlagen/
12.06.2025, Kanton BL: QField, Canton BL: QField, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t638
05.06.2025, Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t697
04.06.2025 & 11.06.2025,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,https://www.opengis.ch/courses-calendar/
27.05.2025, Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t696
19.05.2025 & 26.05.2025,OPENGIS.ch: QGIS Cours avancé à Lausanne,OPENGIS.ch: QGIS Cours avancé à Lausanne,https://www.opengis.ch/courses-calendar/
